# Data Set (v1): ML-CUP17-TS
# Nov 2017
# ML-CUP17
# INFO: micheli@di.unipi.it
# (C) CIML group - Gallicchio, Micheli 2017
# 
# Format:
# Training set: id,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,target_x,target_y
# Blind Test set: id,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10

240,2.077857,0.538235,0.818297,-0.038324,-0.446927,0.347948,0.539240,0.370518,-0.564135,0.397394
241,1.619484,0.200446,0.461352,0.024819,-0.446927,2.044587,0.961783,0.713807,0.512156,0.672974
242,-1.222428,1.157515,0.818297,-1.743191,-1.342716,-1.537207,0.327968,1.629243,-0.863105,-1.118299
243,1.069437,-0.249940,-1.025921,0.277392,0.628021,1.667556,-0.657966,-0.544917,0.093598,1.017450
244,0.427715,-0.587729,-0.668975,0.593108,0.448863,1.761814,-0.939661,-0.258844,0.332774,1.499716
245,-0.030658,-0.475132,-0.490503,0.466821,-0.327488,1.856072,0.257544,-0.144414,0.811126,0.672974
246,1.436135,0.819726,0.699315,0.340535,0.030828,1.196267,1.173054,0.542163,0.272980,0.672974
247,2.077857,0.313042,0.401861,-0.227754,-0.446927,-0.217599,1.243478,0.313304,-0.863105,-0.153767
248,1.344460,0.481937,0.461352,0.277392,-0.028891,1.950329,1.102630,0.713807,-0.025990,0.121813
249,-1.222428,-0.869219,-1.025921,0.466821,1.225214,1.102010,-0.869237,-1.174280,1.050302,0.604079
250,2.352881,0.594533,0.282879,-0.417184,-0.626084,-1.348691,0.609663,-0.029985,-0.384753,-0.429348
251,-0.489031,1.270111,1.234733,-0.922329,-1.402435,-0.217599,1.243478,0.999880,-1.162075,-0.842718
252,1.069437,0.087849,0.996769,0.593108,0.448863,1.950329,0.046273,0.599377,0.512156,0.879659
253,-1.222428,-1.207009,-1.085412,1.161396,0.926617,-0.594630,-1.221357,-1.059850,1.588447,0.190708
254,-1.130753,-1.432201,-0.966430,1.161396,1.046056,0.819237,-0.939661,-0.544917,0.870920,1.706401
255,-0.947404,-0.981816,-1.323375,1.287683,1.404372,-0.029083,-1.573476,-1.403138,0.990508,0.466289
256,0.061016,-1.150710,-1.501848,0.845680,1.523811,-0.217599,-1.150933,-1.117065,1.528653,0.121813
257,-0.672380,-0.249940,-0.014576,0.024819,0.389144,0.724979,-0.305847,-0.029985,0.153392,1.430820
258,-1.222428,-1.544798,-0.966430,0.656251,1.046056,-0.406114,-1.432628,-1.345924,1.708035,0.741869
259,0.061016,-0.362536,-0.133557,1.035110,0.389144,1.667556,0.539240,-0.201629,0.392568,1.499716
260,0.061016,1.326409,1.294224,-1.301188,-1.462155,-0.217599,1.313902,1.285954,-1.341457,-0.704928
261,1.161111,0.313042,0.758806,-0.290897,-0.446927,0.347948,0.539240,0.141659,0.033804,0.052918
262,0.152691,-0.362536,-0.490503,0.529964,0.807179,1.667556,-0.869237,-0.316058,1.050302,1.361925
263,-0.397357,1.326409,0.877788,-1.301188,-0.924681,-0.783145,0.750511,0.999880,-1.281663,-1.669460
264,-0.030658,1.157515,0.223388,-0.796043,-1.223277,-1.254434,0.609663,1.629243,-1.162075,-1.187194
265,1.436135,0.538235,1.115751,-0.732900,-0.805242,-0.594630,1.595597,0.484948,-0.803311,-1.118299
266,0.977762,0.819726,1.234733,-1.490618,-0.566365,-0.688887,0.891359,0.542163,-0.803311,-1.531669
267,0.061016,-1.038114,-0.490503,0.908824,0.687740,0.442206,-0.587542,-1.231494,0.452362,0.604079
268,-0.305682,1.044918,0.223388,-1.364332,-1.044120,-1.160176,0.187120,1.743672,-0.863105,-0.842718
269,-0.855729,-0.925518,-1.323375,1.287683,0.687740,-0.877403,-1.362204,-1.059850,0.930714,0.604079
270,-2.414197,-1.094412,-0.966430,1.540256,1.404372,-0.029083,-1.150933,-1.059850,0.930714,0.741869
271,1.711159,0.707129,-0.252539,0.593108,0.747460,0.819237,0.609663,0.084445,0.811126,0.535184
272,-0.489031,-1.150710,-1.382866,0.340535,1.344653,-0.029083,-1.080509,-1.231494,1.349271,-0.222662
273,0.977762,0.538235,0.342370,0.908824,0.628021,2.327360,-0.024151,-0.773776,-0.025990,0.879659
274,-0.214007,1.157515,1.591678,-0.985472,-1.342716,-0.594630,1.454750,0.999880,-1.102281,-0.980509
275,-0.305682,1.607900,0.223388,-0.985472,-0.924681,-1.631465,0.187120,1.572028,-1.221869,-0.911613
276,-0.030658,-0.925518,-1.085412,0.908824,1.284933,-0.029083,-0.939661,-1.345924,1.528653,-0.084872
277,-0.855729,-1.150710,-1.501848,0.656251,1.046056,-0.217599,-1.150933,-1.059850,1.468859,0.535184
278,0.427715,0.200446,-0.252539,0.403678,0.389144,1.950329,0.257544,-0.316058,0.213186,0.948555
279,-0.580706,0.594533,1.353715,-0.922329,-1.402435,-1.065918,0.680087,1.057095,-1.221869,-1.462774
280,0.061016,1.382708,1.056260,-1.174902,-1.282997,-0.783145,0.820935,0.942666,-0.922899,-1.256089
281,1.161111,-0.756623,0.580333,-0.101468,0.150267,0.913494,0.539240,0.198874,0.392568,0.672974
282,-0.672380,1.270111,2.008115,-0.922329,-1.282997,-1.442949,0.750511,0.828236,-0.922899,-1.256089
283,0.886087,1.044918,0.401861,-0.290897,0.209986,1.667556,0.187120,0.084445,0.811126,0.466289
284,-1.314102,0.876024,0.342370,-1.553761,-1.282997,-1.725722,0.468816,1.743672,-1.341457,-0.980509
285,-0.030658,0.763428,0.223388,-0.922329,-1.402435,-1.065918,0.116696,2.086960,-1.281663,-1.393879
286,-0.030658,1.157515,1.353715,-1.427475,-0.924681,-1.348691,0.609663,0.713807,-1.162075,-1.187194
287,-1.864150,0.819726,0.580333,-1.490618,-1.402435,-1.348691,0.116696,1.743672,-1.461045,-1.669460
288,1.619484,-0.249940,0.461352,0.087962,-0.506646,1.667556,1.032206,0.771022,-0.564135,-0.084872
289,-0.305682,-1.488499,-1.561339,1.161396,1.404372,0.159432,-1.855171,-0.830991,0.751332,0.328499
290,1.527809,0.932322,1.115751,-0.417184,-0.506646,-0.688887,1.243478,0.656592,-0.922899,-1.049404
291,-0.030658,1.326409,0.104406,-1.111759,-1.044120,-1.065918,0.609663,1.457598,-1.221869,-1.600565
292,-0.855729,-0.475132,-0.014576,1.224540,0.389144,1.196267,-0.024151,-0.316058,-0.324959,0.879659
293,-0.397357,0.763428,1.353715,-1.301188,-1.342716,-1.160176,1.666021,0.599377,-1.162075,-0.911613
294,0.336040,-0.644027,-0.431012,0.782537,0.986337,1.950329,-1.150933,-0.716562,0.930714,1.775296
295,0.061016,1.044918,1.472697,-1.048616,-1.402435,-0.783145,1.454750,0.542163,-0.922899,-1.049404
296,-0.672380,-1.375903,-0.431012,1.098253,1.225214,0.253690,-1.150933,-0.487703,1.169889,1.017450
297,-2.505872,1.607900,0.401861,-0.985472,-1.342716,-1.348691,0.046273,1.285954,-1.162075,-0.980509
298,0.152691,-0.137343,1.294224,-0.985472,-1.342716,-0.406114,1.736445,0.542163,-0.982693,-1.118299
299,1.069437,0.313042,1.175242,-1.490618,-1.044120,-0.500372,2.088564,0.484948,-1.042487,-0.980509
300,-0.030658,1.833093,0.401861,-1.427475,-1.103839,-1.348691,-0.517118,1.400384,-1.341457,-1.256089
301,-0.030658,-0.756623,-1.263884,1.287683,0.926617,0.536463,-0.798814,-0.430488,0.153392,1.706401
302,0.611064,0.932322,1.353715,-0.859186,-1.103839,-0.217599,1.736445,0.885451,-0.743517,-0.911613
303,1.161111,0.819726,0.699315,-0.796043,-1.103839,0.159432,1.736445,0.427733,-0.803311,-1.118299
304,-2.689221,-0.981816,-0.966430,1.098253,1.225214,-0.971661,-1.010085,-1.403138,0.990508,0.535184
305,-0.764055,-0.700325,-1.263884,0.656251,1.404372,0.159432,-1.080509,-0.830991,0.930714,0.672974
306,-0.030658,0.707129,1.770151,-1.238045,-1.163558,-0.783145,1.525173,0.828236,-1.162075,-1.118299
307,-0.397357,-0.981816,-0.371521,0.656251,0.448863,0.630721,-0.164999,-0.487703,-0.205372,0.328499
308,-0.122333,1.213813,1.175242,-1.616904,-1.342716,-0.311856,0.750511,1.057095,-1.281663,-0.980509
309,-0.855729,-0.475132,-0.490503,1.413969,1.046056,0.724979,-0.587542,-1.288709,0.751332,1.086345
310,-2.597546,-1.319605,-1.382866,1.477112,1.404372,0.253690,-1.362204,-1.174280,0.990508,0.397394
311,-0.214007,1.495304,0.639824,-1.680048,-1.163558,-0.783145,0.539240,1.343169,-1.281663,-0.980509
312,-0.214007,1.439006,0.520842,-1.490618,-1.282997,-2.291269,0.398392,1.285954,-1.102281,-1.600565
313,-2.689221,-1.150710,-1.025921,1.161396,0.628021,-1.254434,-1.010085,-1.059850,0.930714,0.604079
314,-0.214007,1.382708,1.234733,-1.301188,-1.103839,-0.217599,0.750511,1.400384,-0.922899,-1.876145
315,-2.139173,-1.207009,-1.204393,0.593108,1.046056,-0.406114,-0.939661,-0.487703,0.272980,1.155240
